,ADV,PRT,NUM,ADP,CONJ,NOUN,VERB,PRON,DET,.,ADJ,X
ADV,0.07504319921007159,0.02649551551057352,0.007076442030774294,0.11100139883156422,0.022792726075866042,0.11124825146054472,0.4034394799637949,0.024191557640088866,0.051674483666584385,0.0,0.1665432403521764,0.0004937052579609973
PRT,0.05707931801334322,0.009822090437361009,0.007968865826538177,0.04447739065974796,0.005559673832468495,0.43495181616011863,0.2787249814677539,0.013713862120088955,0.027057079318013343,0.0,0.11916234247590808,0.0014825796886582653
NUM,0.029214850882531954,0.01582471089470481,0.02678027997565429,0.06755934266585514,0.018867924528301886,0.620815581253804,0.07790626902008521,0.006695069993913573,0.010346926354230066,0.0,0.12477175897748022,0.0012172854534388314
ADP,0.03382132463180175,0.006746626686656672,0.012390863391833495,0.02725108034218185,0.004630037922215363,0.4992503748125937,0.17453038186788958,0.02085721844959873,0.04427198165623071,0.0,0.17413352147455685,0.002116588764441309
CONJ,0.04720508506262853,0.0028977378949336325,0.0042998691344176485,0.016638624041876986,0.0014021312394840158,0.47803327724808375,0.2809871003925967,0.004673770798280052,0.009067115348663302,0.0,0.15367358384744811,0.0011217049915872126
NOUN,0.02135614265020349,0.04921018141684486,0.0008967372559839967,0.31547216665517,0.10513899427467752,0.2412775056908326,0.18577636752431537,0.019921363040629095,0.035400427674691315,0.0,0.024115334207077326,0.0014347796095743946
VERB,0.07196191115399136,0.05650404798859013,0.007068249507110198,0.20128780569654767,0.039389236125676415,0.1462729141323042,0.19732371324300516,0.04505222534502286,0.15686480137589665,0.0,0.07768782247577499,0.0005872729560803725
PRON,0.11436377829820453,0.016978922716627636,0.00312256049960968,0.07084309133489461,0.01209992193598751,0.11260733801717408,0.5807962529274004,0.015417642466822794,0.031030444964871194,0.0,0.04254488680718189,0.000195160031225605
DET,0.022101086513145695,0.0027440946341825193,0.0047836244298587165,0.00934475470018912,0.001483294396855416,0.6601401713205028,0.1086883969295806,0.0027440946341825193,0.005302777468758112,0.0,0.18118441057588905,0.001483294396855416
ADJ,0.012046731616606703,0.023527509398876177,0.005416986700084893,0.0835186158386223,0.05619113069491046,0.6916764361078547,0.051178396733637874,0.006144641629947043,0.012006306342725473,0.0,0.057282613089703685,0.0010106318470307636
X,0.008097165991902834,0.012145748987854251,0.0,0.044534412955465584,0.02834008097165992,0.44129554655870445,0.05668016194331984,0.008097165991902834,0.016194331983805668,0.0,0.024291497975708502,0.3603238866396761
